x,y
134,50
134,51
134,52
134,53
134,54
134,55
135,55
134,56
135,56
134,57
135,57
134,58
135,58
134,59
135,59
134,60
135,60
134,61
135,61
134,62
135,62
134,63
135,63
134,64
135,64
134,65
135,65
134,66
135,66
134,67
135,67
134,68
135,68
134,69
135,69
134,70
135,70
134,71
135,71
134,72
135,72
134,73
135,73
134,74
135,74
134,75
135,75
133,76
135,76
133,77
135,77
133,78
135,78
133,79
135,79
133,80
135,80
133,81
135,81
133,82
135,82
133,83
135,83
133,84
135,84
133,85
135,85
133,86
135,86
133,87
135,87
133,88
135,88
133,89
135,89
133,90
135,90
133,91
135,91
133,92
135,92
133,93
135,93
254,93
133,94
135,94
254,94
133,95
136,95
254,95
133,96
136,96
254,96
133,97
136,97
254,97
133,98
136,98
171,98
254,98
133,99
136,99
171,99
254,99
133,100
136,100
171,100
243,100
244,100
254,100
133,101
136,101
171,101
243,101
244,101
254,101
133,102
136,102
171,102
243,102
244,102
254,102
133,103
136,103
171,103
243,103
244,103
254,103
133,104
136,104
171,104
229,104
243,104
244,104
254,104
132,105
136,105
171,105
229,105
243,105
244,105
254,105
132,106
136,106
171,106
229,106
243,106
244,106
254,106
120,107
132,107
136,107
171,107
229,107
230,107
243,107
244,107
254,107
120,108
132,108
136,108
171,108
229,108
230,108
243,108
244,108
254,108
120,109
132,109
136,109
171,109
188,109
229,109
230,109
243,109
244,109
254,109
120,110
132,110
136,110
171,110
188,110
229,110
230,110
243,110
244,110
254,110
255,110
