x,y
120,107
120,108
120,109
120,110
132,105
132,106
132,107
132,108
132,109
132,110
133,76
133,77
133,78
133,79
133,80
133,81
133,82
133,83
133,84
133,85
133,86
133,87
133,88
133,89
133,90
133,91
133,92
133,93
133,94
133,95
133,96
133,97
133,98
133,99
133,100
133,101
133,102
133,103
133,104
134,50
134,51
134,52
134,53
134,54
134,55
134,56
134,57
134,58
134,59
134,60
134,61
134,62
134,63
134,64
134,65
134,66
134,67
134,68
134,69
134,70
134,71
134,72
134,73
134,74
134,75
135,55
135,56
135,57
135,58
135,59
135,60
135,61
135,62
135,63
135,64
135,65
135,66
135,67
135,68
135,69
135,70
135,71
135,72
135,73
135,74
135,75
135,76
135,77
135,78
135,79
135,80
135,81
135,82
135,83
135,84
135,85
135,86
135,87
135,88
135,89
135,90
135,91
135,92
135,93
135,94
136,95
136,96
136,97
136,98
136,99
136,100
136,101
136,102
136,103
136,104
136,105
136,106
136,107
136,108
136,109
136,110
171,98
171,99
171,100
171,101
171,102
171,103
171,104
171,105
171,106
171,107
171,108
171,109
171,110
188,109
188,110
229,104
229,105
229,106
229,107
229,108
229,109
229,110
230,107
230,108
230,109
230,110
243,100
243,101
243,102
243,103
243,104
243,105
243,106
243,107
243,108
243,109
243,110
244,100
244,101
244,102
244,103
244,104
244,105
244,106
244,107
244,108
244,109
244,110
254,93
254,94
254,95
254,96
254,97
254,98
254,99
254,100
254,101
254,102
254,103
254,104
254,105
254,106
254,107
254,108
254,109
254,110
255,110
447,88
447,89
447,90
