x,y
401,78
402,78
403,78
404,78
405,78
406,78
409,78
410,78
414,78
415,78
418,78
419,78
420,78
421,78
422,78
423,78
425,78
426,78
427,78
428,78
429,78
430,78
433,78
434,78
435,78
436,78
440,78
441,78
442,78
443,78
447,78
448,78
449,78
450,78
458,78
459,78
460,78
461,78
462,78
465,78
466,78
491,78
492,78
493,78
494,78
495,78
504,78
505,78
506,78
507,78
510,78
511,78
516,78
517,78
401,79
402,79
409,79
410,79
411,79
414,79
415,79
418,79
419,79
425,79
426,79
432,79
433,79
436,79
437,79
439,79
440,79
443,79
444,79
446,79
447,79
450,79
451,79
457,79
458,79
462,79
463,79
465,79
466,79
491,79
492,79
495,79
496,79
503,79
504,79
507,79
508,79
510,79
511,79
516,79
517,79
401,80
402,80
409,80
410,80
411,80
414,80
415,80
418,80
419,80
425,80
426,80
432,80
433,80
436,80
437,80
443,80
444,80
450,80
451,80
457,80
458,80
465,80
466,80
491,80
492,80
495,80
496,80
507,80
508,80
510,80
511,80
512,80
515,80
516,80
517,80
401,81
402,81
409,81
410,81
411,81
412,81
414,81
415,81
418,81
419,81
420,81
421,81
422,81
425,81
426,81
427,81
428,81
429,81
432,81
433,81
436,81
437,81
443,81
444,81
450,81
451,81
457,81
458,81
465,81
466,81
469,81
470,81
471,81
472,81
476,81
477,81
478,81
482,81
483,81
484,81
491,81
492,81
495,81
496,81
507,81
508,81
510,81
511,81
512,81
515,81
516,81
517,81
401,82
402,82
403,82
404,82
405,82
409,82
410,82
411,82
412,82
414,82
415,82
418,82
419,82
422,82
423,82
425,82
426,82
429,82
430,82
432,82
433,82
436,82
437,82
441,82
442,82
443,82
449,82
450,82
457,82
458,82
465,82
466,82
472,82
473,82
475,82
476,82
478,82
479,82
481,82
482,82
484,82
485,82
491,82
492,82
493,82
494,82
495,82
505,82
506,82
507,82
510,82
511,82
512,82
513,82
514,82
515,82
516,82
517,82
401,83
402,83
409,83
410,83
412,83
413,83
414,83
415,83
422,83
423,83
429,83
430,83
432,83
433,83
436,83
437,83
443,83
444,83
448,83
449,83
457,83
458,83
465,83
466,83
469,83
470,83
471,83
472,83
473,83
476,83
477,83
482,83
483,83
491,83
492,83
495,83
496,83
507,83
508,83
510,83
511,83
512,83
513,83
514,83
515,83
516,83
517,83
401,84
402,84
409,84
410,84
413,84
414,84
415,84
422,84
423,84
429,84
430,84
432,84
433,84
436,84
437,84
443,84
444,84
447,84
448,84
457,84
458,84
465,84
466,84
468,84
469,84
472,84
473,84
477,84
478,84
483,84
484,84
491,84
492,84
495,84
496,84
507,84
508,84
510,84
511,84
513,84
514,84
516,84
517,84
401,85
402,85
409,85
410,85
413,85
414,85
415,85
418,85
419,85
422,85
423,85
425,85
426,85
429,85
430,85
432,85
433,85
436,85
437,85
439,85
440,85
443,85
444,85
446,85
447,85
457,85
458,85
462,85
463,85
465,85
466,85
468,85
469,85
472,85
473,85
475,85
476,85
478,85
479,85
481,85
482,85
484,85
485,85
491,85
492,85
495,85
496,85
503,85
504,85
507,85
508,85
510,85
511,85
513,85
514,85
516,85
517,85
401,86
402,86
403,86
404,86
405,86
406,86
409,86
410,86
414,86
415,86
419,86
420,86
421,86
422,86
426,86
427,86
428,86
429,86
433,86
434,86
435,86
436,86
440,86
441,86
442,86
443,86
446,86
447,86
448,86
449,86
450,86
451,86
458,86
459,86
460,86
461,86
462,86
465,86
466,86
469,86
470,86
471,86
472,86
473,86
476,86
477,86
478,86
482,86
483,86
484,86
491,86
492,86
493,86
494,86
495,86
504,86
505,86
506,86
507,86
510,86
511,86
516,86
517,86
322,91
323,91
324,91
325,91
326,91
327,91
328,91
329,91
330,91
331,91
332,91
333,91
334,91
335,91
336,91
337,91
338,91
339,91
340,91
341,91
342,91
343,91
344,91
345,91
346,91
347,91
348,91
349,91
350,91
351,91
352,91
353,91
354,91
355,91
356,91
357,91
358,91
359,91
360,91
361,91
362,91
363,91
364,91
365,91
366,91
367,91
368,91
369,91
370,91
371,91
372,91
373,91
374,91
375,91
376,91
377,91
378,91
379,91
380,91
381,91
382,91
383,91
384,91
385,91
386,91
387,91
388,91
389,91
390,91
391,91
392,91
393,91
394,91
395,91
396,91
397,91
398,91
399,91
400,91
401,91
402,91
403,91
404,91
405,91
406,91
407,91
408,91
409,91
410,91
411,91
412,91
413,91
414,91
415,91
416,91
417,91
418,91
419,91
420,91
421,91
422,91
423,91
424,91
425,91
426,91
427,91
428,91
429,91
430,91
431,91
432,91
433,91
434,91
435,91
436,91
437,91
438,91
439,91
440,91
441,91
442,91
443,91
444,91
445,91
446,91
448,91
449,91
450,91
451,91
452,91
453,91
454,91
455,91
456,91
457,91
458,91
459,91
460,91
461,91
462,91
463,91
464,91
465,91
466,91
467,91
468,91
469,91
470,91
471,91
472,91
473,91
474,91
475,91
476,91
477,91
478,91
479,91
480,91
481,91
482,91
483,91
484,91
485,91
486,91
487,91
488,91
489,91
490,91
491,91
492,91
493,91
494,91
495,91
496,91
497,91
498,91
499,91
500,91
501,91
502,91
503,91
504,91
505,91
506,91
507,91
508,91
509,91
510,91
511,91
512,91
513,91
514,91
515,91
516,91
517,91
518,91
519,91
520,91
521,91
522,91
523,91
524,91
525,91
526,91
527,91
528,91
529,91
530,91
531,91
532,91
533,91
534,91
535,91
536,91
537,91
538,91
539,91
540,91
541,91
542,91
543,91
544,91
545,91
546,91
547,91
548,91
549,91
550,91
551,91
552,91
553,91
554,91
320,92
321,92
322,92
323,92
324,92
325,92
326,92
327,92
328,92
329,92
330,92
331,92
332,92
333,92
334,92
335,92
336,92
337,92
338,92
339,92
340,92
341,92
342,92
343,92
344,92
345,92
346,92
347,92
348,92
349,92
350,92
351,92
352,92
353,92
354,92
355,92
356,92
357,92
358,92
359,92
360,92
361,92
362,92
363,92
364,92
365,92
366,92
367,92
368,92
369,92
370,92
371,92
372,92
373,92
374,92
375,92
376,92
377,92
378,92
379,92
380,92
381,92
382,92
383,92
384,92
385,92
386,92
387,92
388,92
389,92
390,92
391,92
392,92
393,92
394,92
395,92
396,92
397,92
398,92
399,92
400,92
401,92
402,92
403,92
404,92
405,92
406,92
407,92
408,92
409,92
410,92
411,92
412,92
413,92
414,92
415,92
416,92
417,92
418,92
419,92
420,92
421,92
422,92
423,92
424,92
425,92
426,92
427,92
428,92
429,92
430,92
431,92
432,92
433,92
434,92
435,92
436,92
437,92
438,92
439,92
440,92
441,92
442,92
443,92
444,92
445,92
446,92
448,92
449,92
450,92
451,92
452,92
453,92
454,92
455,92
456,92
457,92
458,92
459,92
460,92
461,92
462,92
463,92
464,92
465,92
466,92
467,92
468,92
469,92
470,92
471,92
472,92
473,92
474,92
475,92
476,92
477,92
478,92
479,92
480,92
481,92
482,92
483,92
484,92
485,92
486,92
487,92
488,92
489,92
490,92
491,92
492,92
493,92
494,92
495,92
496,92
497,92
498,92
499,92
500,92
501,92
502,92
503,92
504,92
505,92
506,92
507,92
508,92
509,92
510,92
511,92
512,92
513,92
514,92
515,92
516,92
517,92
518,92
519,92
520,92
521,92
522,92
523,92
524,92
525,92
526,92
527,92
528,92
529,92
530,92
531,92
532,92
533,92
534,92
535,92
536,92
537,92
538,92
539,92
540,92
541,92
542,92
543,92
544,92
545,92
546,92
547,92
548,92
549,92
550,92
551,92
552,92
553,92
554,92
320,93
321,93
320,94
321,94
320,95
321,95
320,96
321,96
320,97
321,97
320,98
321,98
320,99
321,99
320,100
321,100
320,101
321,101
320,102
321,102
320,103
321,103
320,104
321,104
320,105
321,105
320,106
321,106
320,107
321,107
320,108
321,108
1,111
2,111
3,111
4,111
5,111
6,111
7,111
8,111
9,111
10,111
11,111
12,111
13,111
14,111
15,111
16,111
17,111
18,111
19,111
20,111
21,111
22,111
23,111
24,111
25,111
26,111
27,111
28,111
29,111
30,111
31,111
32,111
33,111
34,111
35,111
36,111
37,111
38,111
39,111
40,111
41,111
42,111
43,111
44,111
45,111
46,111
47,111
48,111
49,111
50,111
51,111
52,111
53,111
54,111
55,111
56,111
57,111
58,111
59,111
60,111
61,111
62,111
63,111
64,111
65,111
66,111
67,111
68,111
69,111
70,111
71,111
72,111
73,111
74,111
75,111
76,111
77,111
78,111
79,111
80,111
81,111
82,111
83,111
84,111
85,111
86,111
87,111
88,111
89,111
90,111
91,111
92,111
93,111
94,111
95,111
96,111
97,111
98,111
99,111
100,111
101,111
102,111
103,111
104,111
105,111
106,111
107,111
108,111
109,111
110,111
111,111
112,111
113,111
114,111
115,111
116,111
117,111
118,111
119,111
121,111
122,111
123,111
124,111
125,111
126,111
127,111
128,111
129,111
130,111
131,111
133,111
134,111
135,111
137,111
138,111
139,111
140,111
141,111
142,111
143,111
144,111
145,111
146,111
147,111
148,111
149,111
150,111
151,111
152,111
153,111
154,111
155,111
156,111
157,111
158,111
159,111
160,111
161,111
162,111
163,111
164,111
165,111
166,111
167,111
168,111
169,111
170,111
172,111
173,111
